site_id,EP_name,date_surveyed,notes,access_notes,data_notes,cluster,utm_E,utm_N,dd_X,dd_Y,elevation,Dec,bec_z,bec_sz,bec_var,yr_har_source,yr_har,age,opening_area,stocking_standards,planting,treatments,free_grow_year,si_hw,si_dist,regen_Hw_age,regen_Hw_ht,mature_Hw_age,mature_Hw_ht,OPENING_ID,mk_id,mi_id,screening_id
cr_1,Discovery Creek,11 Aug 2023,This site has two distinct slopes. The mature component slopes steeply downhill to a creek. Part of the mature component edge is actually the edge of a drop off to the creekbed so the mature component width is slightly <10m deep at some points. The regen,18.6 km north from bridge out of Campbell River to browns bay fsr. Left at 1.8 km onto Discovery Creek fsr. Stay on Discovery Creek at 4km. Stay right at 5.8 km. Park at the entrance of road into block on the left at 6.7km. Walk down deactivated road the,"(12 Dec 2024)1 yr discrepancy between year harvested column and the year reported in site history - checked and disturbance acutally begain in Dec 1990, so corrected site history. Map showing subunits lacking. Assumed it was SU 2 because the some of the site is dry rocky outcrops and SU is listed as CDF, which would align with that. ",Campbell River,1043662.195386,574062.979186,-125.388595,50.180606,95,16.35978259,CWH,xm,2,RESULTS,1990,33,15,"P: Fdc, Cw, Bg
A: none
Spacing: 900 st/ha","1992 (14ha): Fdc (607 st/ha), Cw (128.6 st/ha)","Spot burned (1ha, 1991)",2000,24,35.483129,34,22.1,104,43.8,5805,,,ss_36
cr_2,Beach Main FSR,15 Aug 2023,Mature component is in a steep creek bed. Regen is on a flat plateau above. Old site past stem exclusion (and may have been thinned). Easy walking.,Lost access notes.,(12 Dec 2024) Juvenile spacing record in RESULTS says treatment happened over 17.8ha but this is bigger than the block. Just put it as the full block size. ,Campbell River,1041587.937277,579385.913542,-125.417027,50.228604,137,16.37487767,CWH,xm,2,RESULTS,1985,38,15,"P: Fdc, Cw
A: none
Spacing: -",1987 (14ha): Fdc (927 st/ha),"Manual weeding (3ha, 1992)
Juvenile spacing, Fdc and Cw favoured (15ha, 1998)",1998,24,69.284401,39,24.8,144,35.5,-361910000,,,ss_32
cr_3,Elk Bay,17 Jul 2024,"Site fairly uniform. Mature component below regen, with gradual (approx 8 degree) slope. Infection in mature component severe. Some nearby trees appear to have been killed by HDM x drought.","From bridge crossing Campbell River, drive N on highway 19A for 30km to Elk Bay FSR (RR12) just past Roberts Lake. Drive 12.5km and park. If you hit 2km sign, you've gone too far. Walk into site through mature forest. 0.75hrs from Campbell River.","Lots of recently dead trees at this site that we gave DMR values to. Didn't do this consistently across sites, need to think about this. Prunus misrecorded as Pr, should have been V. Listed as CWHxm2 in vri and CWHxm1 in RESULTS. (12 Dec 2024) subunits not indicated in site map. Assumed our site was in the bigger of the two (SU 2) but could be wrong. Stocking standard similar. ",Campbell River,1040221.541,583740.1665,-125.435694,50.267836,85,16.275579,CWH,xm,2,RESULTS,1987,37,16,"P: Fdc, Cw, Hw
A: Bg
Spacing: unknown","1989 (15ha): Fdc (943 st/ha), Cw (300 st/ha)","Chemical herbicide (9ha, 1993)
Manual brushing (2ha, 1994; 7.3ha 1997) ",1994,24,16.180528,,,,,28946,,,ss_44
mi_1,Rolley Lake,28 Jun 2023,Mature component old growth Hw dominated forest. A few residuals right along (within 5m) of block boundary. New cutblock to E of site harvested in 2023. Watch for ground nesting wasps.,"Drive to Rolley Lake Provincial Park. In Park take right turn towards campground. Park at campground visitor parking on right hand side. Walk to the end of the campground to the trail for the falls. When on trail, immediately take right fork. Walk on tha",Site established using slope distance (when it should have been horizontal distance) for edge line. Went back and remeasured with reangefinder and since site is fairly flat it worked out to be the same. Mature component overlaps two vria polygons. Used one to N because it better aligned with what we saw the one to the S was missing data on Hw.  Mature component overlaps two vri polygons; averages site index from these fir mature_si. ,Fraser Valley,1264050.819649,476907.175531,-122.375203,49.247661,196,15.67497474,CWH,dm,-,bc vri,1991,32,6.9,-,-,Spacing (details unkown),-,30.3,33.120795,33,13.2,163,45.1,,,FID-166,-
mi_2,McCoombs Street,5 Jul 2023,Mature component nearly pure Hw and has a chest high sea of Hw saplings to work through.,"From the west, follow Dewdney Trunk Road to McCoombs Street. Turn left onto McCoombs and drive approx 400m to parking lot on right for Roy Kittles trail. Walk the trail 200m or so and then veer left into mature timber to navigate to site.","Site initially not established with permanent markers. Permanent ids were given to the regen transects and stem plots after they had been marked with GPS. New regen transect ids: 1=122, 2=124, 3=129. New stem plot ids: 1=014, 2=015, 3=016, 4=017, 5=018, 6=019, 7=020. Could not relocate stem plot 7 (020) with old data, so remeasured trees, from edge end point that was right nearby --> when doing stem mapping use ed.2.mi2 in place of sm.7.mi2. Some other data corrections noted in field notebook updated in datasheets. RESULTS puts this site as CWHdm and vri puts it as CWHvm1. Went with RESUTLS because it seems to have more data. Site index for actual block estimated with Fdc. Used vri polygon in another part of the block to the S that estimated for Hw. (12 Dec 2024) Site plan map missing impossbilbe to know which sub unit out site is in. There are three SU and the two larger ones have similar stocking standards - used these. ",Fraser Valley,1267903.307752,475532.913992,-122.323391,49.233521,199,15.66195716,CWH,dm,-,RESULTS,1994,29,12.9,"P: Fdc, Cw, Hw
A: Act
Spacing: 900 st/ha","1994 (1ha): Fdc (320 st/ha), Cw (360 st/ha)
1995 (4.8ha): Fdc (642 st/ha), Cw (397 st/ha)
1996 (10.5 ha): Fdc (626 st/ ha), Cw (231 st/ha), Ax (48 st/ha)","Manual brushing (1.6ha, 1996; 4 ha, 1999; 1ha, 2000; 10.5ha, 2002)",2004,27.2,34.498376,26,14.7,147,33,4601,,JL2,-
mk_1,M Road,7 Jul 2023,"Mature component with two distinct forest types. W side is steep and open, dominated by Hw with HDM and has lots of blowdown. E side is old growth Fd, Cw and Hw with less HDM.",Lost access notes,"Infection perimeter seq: edge start (ed.1.mk1) to ip.1.mk1 (at ~5m along edge), out to ip.2.mk1 through ip.5.mk1, back to edge at 42.5m transect start (ts.102.mk1), then finish at edge end point (ed.2.mk1). Mature component two distinct forest types, represented by two VRI polygons. W side of site makes up about 2/3 and is younger with a lot of windblown trees; Hw age = 100, ht = 32. E side of site makes up about 1/3 and is old-growth; Hw age = 530, ht = 47.  Estimated age and ht using weighted average = 2/3 (W value) + 1/3 (E value) / ((2/3) + (1/3)). Site index for mature component calculated with same weighting. Site index from regen component from MKRF vri. ",Fraser Valley,1248471.558445,480754.182363,-122.586185,49.289208,247,15.72353181,CWH,dm,-,mk harvest,1990,33,9.9,-,-,-,-,28.2,37.924624,27,17,243,1,,1990-M000-01,,ss_96
mk_2,L Road,20 Jul 2023,This site is close to block corner in the E. may have to remove eastern transect and shorten edge surveyed in future bc it will be impossible to distinguish hdm from this edge from hdm coming from E edge.,"Drive to the N end of L road. Park at spur at 9km on left. Walk down that road till you reach point it was fully deactivated. here we found it easier to bear slightly left and downslope, then parallel the old road until you are below the site. Then walk",Mature component has two vri polygons but they are fairly equivalent. Used the E polygon to get mature component age and height.,Fraser Valley,1247636.230358,483357.158417,-122.595925,49.312968,391,15.73100594,CWH,vm,2,mk vri,1978,45,4.2,-,-,-,-,27,19.699355,35,21,145,45,,-,,ss_103
mk_3,F Road,23 Jul 2023,Site where we thought the mature component wasn't heavily infected immediately next to edge so we mapped mature trees up to 15m hd from edge. Turned out not to be true and there's is some good infected mature trees adjacent to edge. Some advanced Hw regen. Heavy deciduous component and blowdown area affecting transects 115 and 120. The blowdown is marked as lf.1.mk3. ,"Super easy access. From MKRF base, drive up F road. Site is on left (W side of road) just past junction with A road. We drove past site and parked at deactivated spur on W side of road and then walked back down the road and into the forest. Should see ma","Infection perimeter seq: edge start (ed.1.mk3) to point on edge line (ip.2.mk3), out to ip.3.mk3 (perpendicular to ip.2.mk3, about 3m into regen), to ip.4.mk3 (in regen), back to edge line between transect 120 and 121 (ip.5.mk3) then along edge to the end through ts.121.mk3 and ed.2.mk3.  Mature component overlaps two vri polygons, took average site index from the two. ",Fraser Valley,1249937.698634,479304.901264,-122.567037,49.275542,195,15.71678506,CWH,dm,-,mk harvest,2000,23,8.4,-,-,-,-,28.3,32.599305,16,9,55,30,,2000-F000-01,,ss_95
ph_1,Toquart Lake,30 Aug 2023,"Site on steep upper edge of block. An outlier because we detected almost no infection in the regen component. Access is challenging, steep and far from Port Alberni.",Drive 16km to the end of the Maggie Lake FSR to where it becomes Toquhat FSR and zero odo. Stay on Toquhat for x km to site. Park at start to one of deactivated spurs on W side of road. From there slog uphill 750m or so to edge.,"Infection perimeter seq: ip.1.ph1, ts.266.ph1, ts.259.ph1, ip.2.ph1, ip.3.ph1, ed.1.ph1",Pacific Highway,1048577.255006,451626.025507,-125.335856,49.07891,267,16.08612379,CWH,vm,1,RESULTS,1983,40,71,"P:Hw, Ba
A: none
Spacing: unknown","1984 (21ha): Ss (857 st/ha)
1985 (46 ha): Ba (978 st/ha)
1987 (2ha): Cw (1000 st/ha)
1988 (46ha): Ba (326 st/ha)","Broadcast burn (21 ha, 1983; 46 ha, 1984)
Juvenile spacing (area uknown, 1998)
Manual brushing (35.5 ha, 2001)
Fertilization (52.5 ha, 2004)",2000,27.9,41.377822,37,25.6,397,38.1,-399350000,,,ss_65
ph_2,Toquart Lake N,11 Jun 2024,"Site fairly flat and borders a creek. SIginificant amabalis fir component, which is a rare host of HDM and infected at the site. Ba infection significant enough to include it in analyses. Lots of brush. Some beautiful old growth cedar. ","Same as ph_1, just farther on Toquaht FSR. Start at Maggie Lake FSR (RR 10) NE of Ucluelet, drive till end of road (12-14km) where it road becomes Toquaht FSR. Continue 15km. Park at 15km road signs. Walk road till parallel with site, then through block. 1.5hrs to site from Ucluelet. ","Datasheets wet from rain when measuring, some data on sheets unclear. Brush may have made distances measurments unreliable. No heights taken in mature component, brush was too challenging to get site lines. (12 Dec 2024) Site plan map doesn't have sub units so assuming ours is in the biggest one. ",Pacific Highway,1046847.643,455083.3369,-125.359075,49.110176,69,15.998362,CWH,vm,1,RESULTS,1989,35,20.1,"P: Cw, Ba
A: Ss, Hw
Spacing: 900 st/ha","1991 (18 ha): Cw (773 st/ha), Ba (511 st/ha), Ss (104 st/ha)
1994 (12.8 ha): Cw (fill planted)","Manual brushing (10ha, 1993; 2.3 ha, 2001)",2003,32.6,46.945625,,,,,5894,,,ss_67
ph_3,Lucky Creek,14 Jun 2024,"Site steep and brushy. Regeneration to continuous forest cover did not occur at the edge, there is signigicant brush cover and the trees are smaller than the interior of the block where continuous cover does occur. Block boundary defined along a cliff face. Mature component on plateau on top of cliff, regen starts at cliff base. Middle transect at site did not have Hw, so it was extended until 3 live standing Hw were encountered. HDM noted as a significant pest in RESULTS. Three meter knockdown applied in preferred pest control. Notes to watch hdm levels and space Hw if it becomes severe, but no indication that happened.","First section the same as ph_2 and ph_3. Start at Maggie Lake FSR (RR 10) NE of Ucluelet, drive till end of road (12-14km) where it road becomes Toquaht FSR. Continue 9.5km then take Lucky Creek Branch on right. At 2.4km take right onto Black Peaks Main. Take right branch at 0.4km. We drove 1.9km and parked because road became brushy. Walk road till parallel with site then walk in. 1.5hrs to site from Ucluelet. ",RESULTS lists the subunit the site is in as CWHvm1. (12 Dec 2024) Our site in SU 3. ,Pacific Highway,1050214.747,447238.2607,-125.314051,49.039269,59,15.976009,CWH,vm,1,RESULTS,1991,33,28.4,"P: Cw, Ba
A: Hw
Spacing: 900 st/ha","1993 (24.6 ha): Cw (732 st/ha), Ba (203 st/ha)","Pile and burn (24.6 ha, 1993)
Manual brushing, targeting Dr (9.8 ha, 2001)",2006,17.2,22.766013,,,,,-399750000,,,ss_137