tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m183,y65,cr_2,29,Hw,1.2,350,,LS,24.3,,Y,N,2,2,1,Y,4,Y,I,,,,,1,,,
m184,y58,cr_2,29,Hw,2.9,350,,LS,21.2,,Y,Y,1,0,0,N,-,N,I,,,1,,1,,,
m185,y127,cr_2,29,Hw,2.9,350,,LS,49.5,36.3,Y,Y,2,0,0,Y,1,N,C,,,,,1,,,
m186,y105,cr_2,29,Hw,7.9,118.1,,SN,13.8,,-,-,-,-,-,-,-,-,-,,,,,5,,,
m187,w111,cr_2,30,Hw,2.9,56.9,,SN,15.5,,-,-,-,-,-,-,-,-,-,,,,,6,,,
m188,w8,cr_2,30,Hw,2.3,90,,LS,46.8,32.2,Y,Y,2,2,2,Y,7,N,C,,,,,1,,,
m189,w66,cr_2,30,Hw,3.7,83.6,,LS,44.8,40.2,Y,Y,2,1,1,Y,4,N,C,,,,,1,,,
m190,w22,cr_2,30,Mb,2.6,187.1,,LS,38.3,,N,-,-,-,-,-,-,-,I,,,4,,1,,,
m191,w50,cr_2,30,Hw,5.3,106.1,,LS,66.5,,Y,Y,2,2,1,Y,8,N,D,,,,,1,,,
m192,w112,cr_2,30,Fd,5.7,162.8,,LS,23.6,,Y,-,-,-,-,-,-,-,C,,,,,1,,,possible hdm
m193,w65,cr_2,30,Hw,6.5,155.3,,LS,49,,Y,Y,1,1,1,N,-,N,D,,,,,1,,,
m194,w124,cr_2,30,Hw,6.3,164.5,,LS,21.4,,Y,N,2,2,1,Y,1,N,I,,,,,1,,,
m195,w120,cr_2,30,Hw,5.9,205.3,,LS,47.2,,Y,Y,2,2,2,Y,4,N,C,,,,,1,,,Forked with m196
m196,w3,cr_2,30,Hw,5.9,105.3,,SN,19.4,,Y,-,-,-,-,-,-,-,-,,,,,4,,,Forked with m195
m197,w1,cr_2,30,Fd,6.2,256.5,,LS,67.4,,-,-,-,-,-,-,-,-,D,,,,,1,,,
m198,w52,cr_2,30,Fd,4.5,248.9,,LS,50.3,,-,-,-,-,-,-,-,-,C,,,,,1,,,
m199,w56,cr_2,30,Hw,1.9,253.9,,LS,20.9,,Y,Y,2,1,1,Y,8,N,S,,,,,1,,,
m200,w71,cr_2,30,Fd,2.5,278.4,,LS,32.4,,-,-,-,-,-,-,-,-,C,,,,,1,,,
m201,w101,cr_2,30,Hw,5.1,298.5,,LS,25.6,,Y,Y,1,0,1,N,-,Y,I,IB,,1,,1,,,forked with m202
m202,w13,cr_2,30,Hw,5.1,298.5,,RD,20.7,,Y,Y,2,1,1,N,-,-,-,IB,Ax,1,,2,,,formed with m201
m203,w5,cr_2,30,Fd,6.2,278.4,,LS,71.2,,-,-,-,-,-,-,-,-,D,,,-,,1,,,
m204,y64,cr_2,31,Cw,2.3,342.8,,LS,92.5,,-,-,-,-,-,-,-,-,D,,,1,,1,,,
m205,y32,cr_2,31,Hw,4.2,43.1,,SN,9.7,,-,-,-,-,-,-,-,-,-,,,-,,6,,,
m206,y9,cr_2,31,Hw,4.3,66.8,,LS,59.5,34,Y,Y,2,2,1,Y,4,Y,D,,,-,,1,,,
m207,y130,cr_2,31,Cw,3.1,68,,LS,45,,N,-,-,-,-,-,-,-,I,,,1,2,1,,,
m208,y115,cr_2,31,Fd,5.9,131.3,,LS,40.3,,N,-,-,-,-,-,-,-,C,,,,,1,,,
m209,y1,cr_2,31,Hw,3.5,185.7,,SN,44.9,,Y,-,-,-,-,-,-,-,-,,,,,4,,,forked with m210
m210,y125,cr_2,31,Hw,3.5,185.7,,SN,25.2,,Y,N,-,-,-,-,-,-,-,,,,,4,,,forked with m209
m211,y57,cr_2,31,Hw,4,247.8,,RD,17.1,,Y,N,2,2,2,Y,4,N,S,,,,,2,,,
m212,y103,cr_2,31,Cw,5.9,247.4,,LS,13.4,,-,-,-,-,-,-,-,-,S,,,,,1,,,
m213,w10,cr_2,35,Cw,3.9,344.3,,LS,94.8,,-,-,-,-,-,-,-,-,D,,,,,1,,,
m214,w42,cr_2,35,Cw,3.3,3.4,,LS,78.2,,-,-,-,-,-,-,-,-,D,IB,,,,1,,,
m215,w25,cr_2,35,Cw,2.5,17.1,,LS,49.8,,-,-,-,-,-,-,-,-,C,,,,,1,,,
m216,w119,cr_2,35,Fd,8.4,50.4,,LS,31.7,,N,-,-,-,-,-,-,-,C,,,1,,1,,,
m217,w108,cr_2,35,Hw,7.7,62.7,,LS,34.7,25.2,Y,Y,2,2,2,Y,7,Y,C,IB,,1,,2,,,
m218,w107,cr_2,35,Hw,3.7,69.3,,LS,36,29.6,Y,Y,2,2,2,Y,4,Y,C,,,-,,2,,,
m219,w11,cr_2,35,Hw,4.2,84.2,,LL,36.6,26,Y,Y,2,2,1,Y,1,Y,C,,,2,,1,,,
m220,w35,cr_2,35,Hw,7.1,95.7,,LL,38.3,,Y,Y,2,2,2,Y,7,Y,C,,,-,,1,,,
m221,w76,cr_2,35,Hw,4.6,123.8,,LS,35.8,27.6,Y,Y,2,2,1,Y,8,Y,C,,,-,,2,,,
m222,w30,cr_2,35,Hw,2.6,220.6,,LS,10.8,,Y,N,1,1,0,N,-,-,S,,,-,,2,,,forked with m223
m223,w117,cr_2,35,Hw,2.6,220.6,,LS,11.5,,Y,N,1,1,0,Y,1,N,S,,,3,,1,,,forked with m222
m224,y55,cr_2,30,Hw,6.7,69.6,,LS,48.5,36.2,Y,Y,2,2,1,Y,4,Y,C,IB,AX,1,,1,,,forked with m225
m225,w7000,cr_2,30,Hw,6.7,69.6,,LS,23,,Y,Y,2,2,2,Y,1,Y,I,,,,,1,,,forled with m224
m226,y48,cr_2,31,Cw,8.6,66.8,,LS,18,,-,-,-,-,-,-,-,-,S,,,,,1,,,
m227,y7001,cr_2,35,Hw,8.7,35.4,,LS,34.7,24.5,Y,Y,2,1,1,Y,1,Y,C,,,,,1,,,
m228,y17,cr_2,31,Hw,6,328.2,,LS,39.4,,Y,Y,2,2,2,Y,7,Y,I,,,,,1,,,
m229,w108,mk_2,6,Cw,7.8,276,,LS,77,,N,-,-,-,-,-,-,-,C,,,2,5,1,N,,
m230,w51,mk_2,6,Hw,7.1,290.5,,LS,62.3,39.1,Y,Y,2,1,1,Y,4,N,C,IB,AX,1,,1,N,,
m231,w63,mk_2,6,Hw,7,327.6,,LS,51.3,,Y,Y,2,1,0,Y,4,N,C,,,,,1,N,,
m232,w123,mk_2,6,Hw,4.7,330,,LS,9.6,,Y,Y,1,1,0,N,-,N,S,,,,,1,N,,
m233,w75,mk_2,6,Hw,9.6,276,,LS,11.2,,Y,Y,0,0,0,N,-,Y,S,,,,,1,N,,
m234,w46,mk_2,6,Hw,10.6,270.3,,LS,9.2,,N,-,-,-,-,-,-,-,S,,,,,1,N,,
m235,w32,mk_2,6,Hw,7.1,230.5,,LS,44.7,,Y,N,1,1,0,Y,2,N,C,,,1,,1,N,,
m236,w61,mk_2,6,Hw,6.4,214.6,,LS,10.4,,N,-,-,-,-,-,-,-,S,,,-,,1,N,,
m237,w71,mk_2,6,Cw,8.3,203.6,,LS,31.5,,N,-,-,-,-,-,-,-,I,,,5,,1,Y,,
m238,w36,mk_2,6,Hw,6.6,195.2,,LS,50.4,,Y,Y,1,1,0,N,-,N,C,,,-,,1,Y,,
m239,w5,mk_2,6,Hw,6.7,149,,LS,39.7,38.1,Y,N,0,1,0,N,-,N,C,,,-,,1,Y,,
m240,w65,mk_2,6,Hw,1.4,257.3,,LS,38.2,,Y,N,0,1,0,N,-,N,C,,,1,,1,N,,
m241,w26,mk_2,6,Hw,1.2,320.5,,LS,38.2,,Y,Y,1,0,0,Y,1,N,I,,,1,,1,N,,
m242,w67,mk_2,6,Fd,2.3,345,,LS,67.3,,N,-,-,-,-,-,-,-,C,,,-,,2,N,,
m243,w102,mk_2,6,Cw,1.3,90.2,,LS,17.3,,N,-,-,-,-,-,-,-,S,,,1,2,1,N,,
m244,y46,mk_2,7,Cw,5.3,285.4,,LS,23.5,,N,-,-,-,-,-,-,-,S,,,1,,1,N,,
m245,y48,mk_2,7,Hw,4.6,312.8,,LS,15.2,,Y,N,1,1,0,N,-,N,S,NX,,-,,1,N,,
m246,y70,mk_2,7,Hw,4.8,23,,LS,9.9,,N,-,-,-,-,-,-,-,S,,,-,,1,N,,
m247,y34,mk_2,7,Hw,6.6,353,,LS,53.2,,Y,N,1,1,0,N,-,N,C,IB,AX,-,,1,N,,
m248,y16,mk_2,7,Hw,8.2,52.2,,LS,30.2,,Y,N,2,2,2,Y,7,N,S,,,1,,1,N,,
m249,y129,mk_2,7,Fd,4.1,66.2,,SN,106.5,,N,-,-,-,-,-,-,-,-,,,-,,-,N,,
m250,y128,mk_2,7,Hw,2.2,68.5,,LS,44.7,,Y,N,1,1,0,N,-,N,C,,,1,,1,N,,
m251,y69,mk_2,7,Hw,0.5,36,,LS,20.9,,Y,N,1,2,1,N,-,N,S,,,-,,2,N,,
m252,y56,mk_2,7,Hw,1.4,138.9,,LS,56.8,43.8,Y,N,1,1,0,N,-,N,C,IB,AX,1,,1,N,,
m253,y51,mk_2,7,Hw,3.9,156.3,,LS,36.4,,Y,N,0,1,0,N,-,N,I,,,-,,1,Y,,
m254,y102,mk_2,7,Hw,4.7,100.7,,LS,46.8,,Y,Y,1,1,1,Y,1,N,C,,,-,,1,N,,
m255,y100,mk_2,7,Hw,7.1,129.9,,LS,46.3,,Y,Y,0,0,0,Y,8,N,C,,,-,,1,Y,,
m256,y28,mk_2,7,Hw,8.4,200.3,,LS,41.2,38.4,Y,N,0,1,0,N,-,N,C,,,-,,1,Y,,
m257,w14,mk_2,8,Hw,2.2,280.3,,LS,9.8,,Y,Y,2,2,1,N,-,N,S,,,1,,1,N,,
m258,w15,mk_2,8,Hw,2.9,328.1,,LS,9.8,,Y,Y,1,0,0,N,-,N,S,,,-,,1,N,,
m259,w120,mk_2,8,Hw,4.8,37.5,,LS,12.5,,Y,N,1,0,0,N,-,N,S,,,7,,1,N,,
m260,w39,mk_2,8,Cw,4.5,47.2,,LS,62.9,,-,-,-,-,-,-,-,-,C,,,,,1,N,,
m261,w52,mk_2,8,Hw,3.9,53.3,,LS,40.4,28.6,Y,Y,1,1,1,Y,8,N,C,IB,AX,2,,1,N,,
m262,w111,mk_2,8,Cw,8.1,47.2,,LL,23.7,,-,-,-,-,-,-,-,-,S,,,,,1,N,,
m263,w49,mk_2,8,Hw,10.1,100.8,,LS,13.9,,Y,Y,2,1,0,Y,8,Y,S,,,,,1,N,,
m264,w22,mk_2,8,Fd,10.6,100.8,,SN,110,,-,-,-,-,-,-,-,-,-,,,,,-,N,,
m265,w103,mk_2,8,Hw,7.9,104.9,,LS,10.8,,Y,Y,2,1,0,N,-,Y,S,,,,,1,N,,
m266,w122,mk_2,8,Cw,11.3,111.3,,SN,18.5,,N,-,-,-,-,-,-,-,-,,,,,-,Y,,
m267,w74,mk_2,8,Hw,11.6,114,,LS,68.9,45.2,Y,N,2,1,1,Y,4,N,C,,,,,1,Y,,
m268,w42,mk_2,8,Hw,5.5,148.9,,LS,11.6,,Y,Y,2,2,1,N,-,Y,S,,,1,,1,N,,
m269,w9,mk_2,8,Hw,6.7,162.7,,LS,54.3,,Y,N,2,2,1,Y,4,N,C,,,1,,1,Y,,
m270,w58,mk_2,8,Hw,10.8,158.7,,LS,47.5,,Y,Y,2,1,1,Y,1,N,C,,,1,2,1,Y,,
m271,w24,mk_2,8,Hw,8.3,194.7,,LS,31.6,,Y,N,0,1,1,N,-,Y,C,,,1,,2,Y,,
m272,w54,mk_2,8,Hw,7.3,186.1,,LS,24.8,,Y,Y,2,2,2,Y,7,N,S,,,5,,1,Y,,
m273,y41,mk_2,9,Hw,5.8,219.2,,LS,28.7,,Y,Y,2,2,2,Y,4,N,I,IB,AX,,,1,Y,,
m274,y127,mk_2,9,Hw,4.5,202.9,,LS,9.1,,Y,Y,2,1,0,N,-,N,S,,,,,1,Y,,
m275,y15,mk_2,9,Fd,7,203.5,,LS,60.4,,N,-,-,-,-,-,-,-,C,,,,,1,Y,,
m276,y20,mk_2,9,Cw,7.2,198.3,,LS,48.8,,-,-,-,-,-,-,-,-,I,,,1,3,1,Y,,
m277,y37,mk_2,9,Hw,6.5,170,,LS,9.7,,Y,Y,0,1,0,N,-,N,S,,,,,1,Y,,
m278,y35,mk_2,9,Hw,2.1,129.5,,LS,14.5,,Y,Y,2,2,1,Y,4,Y,S,,,3,,1,N,,
m279,y64,mk_2,9,Hw,5.8,95.9,,LS,13.8,,Y,Y,2,2,1,N,-,N,S,,,,,1,N,,
m280,y71,mk_2,9,Hw,7.8,127.1,,SN,37.8,,Y,Y,1,1,1,Y,1,N,-,IB,AX,,,-,Y,,"DANGER, new snag, top 2/3 tree present"
m281,y68,mk_2,9,Hw,7.3,127.1,,LS,10.2,,Y,Y,1,1,0,N,-,Y,S,,,,,1,Y,,
m282,y122,mk_2,9,Hw,2.1,8.9,,SN,9.5,,Y,Y,2,1,1,N,-,Y,-,,,,,-,N,,"Recent dead, broke @ approx 2m"
m283,y62,mk_2,9,Cw,4,2.1,,LS,28.5,,-,-,-,-,-,-,-,-,I,,,,,1,N,,
m284,y59,mk_2,9,Hw,4.7,311.8,,LS,18.4,,Y,Y,0,1,0,N,-,Y,I,,,2,,1,N,,
m285,y31,mk_2,9,Hw,8.6,316.1,,LS,64.4,39,Y,Y,2,2,2,Y,7,Y,C,,,,,2,N,,
m286,y58,mk_2,9,Hw,7.1,321.2,,RD,11.7,,Y,Y,2,2,1,Y,1,Y,-,IB,AX,,,-,N,,Recently dead
m287,y24,mk_2,9,Hw,5.6,26.3,,LS,14.3,,Y,Y,0,0,1,N,-,N,S,,,5,,1,N,,
m288,y29,mk_2,9,Hw,6.4,39,,SN,70.2,,N,-,-,-,-,-,-,-,-,NW,,,,-,N,,"Not any tree to look for HDM, probably had lots"
m289,w401,mk_2,8,Cw,14,40.9,,LS,65.9,,N,-,-,-,-,-,-,-,C,,,,,1,N,,In regen component
m290,w2,mk_3,13,Cw,7.1,298.4,,LS,43.5,,N,-,-,-,-,-,-,-,I,,,1,,1,N,,
m291,w30,mk_3,13,Hw,1.4,256.7,,LS,14.2,,Y,Y,0,0,0,N,-,N,S,DS,,2,7,1,N,,
m292,w31,mk_3,13,Hw,1.1,278.5,,LS,15,,N,-,-,-,-,-,-,-,S,DS,,2,,1,N,,
m293,w49,mk_3,13,Hw,4.8,28.1,,LS,67.3,41.6,Y,Y,2,1,0,Y,1,N,C,,,-,,1,N,,
m294,w29,mk_3,13,Hw,1.2,50.4,,LS,15.6,,Y,Y,0,0,0,N,-,N,S,,,1,,1,N,,
m295,w102,mk_3,13,Hw,5.6,56.8,,LS,17,,N,-,-,-,-,-,-,-,S,,,,,1,Y,,
m296,w11,mk_3,13,Hw,7.9,49.3,,LS,9.2,,Y,Y,0,0,0,N,-,N,S,,,,,2,Y,,
m297,w108,mk_3,13,Fd,8.5,28.1,,LS,12.7,,N,-,-,-,-,-,-,-,S,,,,,2,Y,,
m298,w24,mk_3,13,Hw,7.3,75.9,,LS,51.2,,Y,Y,2,2,1,Y,4,Y,C,,,,,1,Y,,
m299,w28,mk_3,13,Hw,6.9,87.7,,SN,25.7,,N,-,-,-,-,-,-,-,-,,,,,-,Y,,
m300,w58,mk_3,13,Hw,6.3,94.8,,LS,62.9,,Y,Y,2,2,1,Y,1,N,C,DD,,6,,1,Y,,
m301,w22,mk_3,13,Hw,7.3,94.8,,LS,43.6,,Y,Y,2,2,1,Y,1,Y,C,,,,,1,Y,,
m302,w69,mk_3,13,Hw,2.6,124.5,,DS,9.7,,N,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m303,w70,mk_3,13,Hw,2.6,127.4,,DS,9.5,,N,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m304,w42,mk_3,13,Hw,2.9,152.2,,SN,9.1,,N,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m305,w7,mk_3,13,Hw,8.9,133.9,,LS,42.2,38.8,Y,Y,2,2,1,Y,1,N,C,IB,,,,1,Y,,
m306,w46,mk_3,13,Hw,5.4,153.6,,SN,13,,Y,-,-,-,-,-,-,-,-,U,,,,-,N,,
m307,w122,mk_3,13,Cw,5.4,165.7,,LS,38.2,,N,-,-,-,-,-,-,-,I,,,,,1,N,,
m308,w14,mk_3,13,Hw,6.5,160.8,,DS,11,,N,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m309,w75,mk_3,13,Hw,2.1,186.6,,LS,40.5,,Y,Y,1,0,0,Y,1,N,C,,,,,1,N,,
m310,w9,mk_3,13,Hw,3.5,197.5,,LS,14.7,,N,-,-,-,-,-,-,-,S,DS,,,,1,N,,
m311,w65,mk_3,13,Hw,6.5,240.3,,LS,47.9,,Y,N,2,0,0,Y,1,N,C,,,,,1,N,,
m312,y38,mk_3,12,Hw,1.5,270,,LS,19,,Y,N,0,1,0,N,-,-,S,,,,,1,N,HS,
m313,y6,mk_3,12,Hw,3.7,290.6,,LS,53.3,,Y,Y,1,1,0,Y,1,N,C,,,,,1,N,HS,
m314,y127,mk_3,12,Cw,5,304.7,,LS,30.2,,N,-,-,-,-,-,-,-,S,,,2,1,1,N,,
m315,y9,mk_3,12,Fd,2.3,316.4,,LS,43.5,,N,-,-,-,-,-,-,-,C,,,,,1,N,HS,
m316,y31,mk_3,12,Hw,2.3,340.4,,LS,16.3,,Y,N,0,1,0,N,-,N,S,,,,,1,N,NH,
m317,y37,mk_3,12,Hw,4.6,18.4,,LS,18.7,,N,-,-,-,-,-,-,-,S,,,,,1,N,NH,
m318,y108,mk_3,12,Hw,3.6,42.2,,LS,15,,Y,N,1,0,0,N,-,N,S,,,,,1,N,NH,
m319,y62,mk_3,12,Hw,1.3,79.8,,LS,10.1,,N,-,-,-,-,-,-,-,S,,,1,,2,N,NH,
m320,y109,mk_3,12,Hw,5.7,53.5,,LS,10.5,,N,-,-,-,-,-,-,-,S,,,,,1,Y,NH,
m321,y45,mk_3,12,Hw,5.4,58.9,,LS,11.5,,Y,N,1,0,0,N,-,N,S,,,,,2,Y,NH,
m322,y55,mk_3,12,Hw,5.8,61,,LS,60,39.3,Y,N,2,1,0,Y,4,N,C,,,,,2,Y,,
m323,y66,mk_3,12,Cw,8.3,76.7,,LS,12.7,,N,-,-,-,-,-,-,-,S,,,,,1,Y,,
m324,y27,mk_3,12,Hw,7.9,78.6,,LS,16.2,,Y,Y,1,1,0,Y,1,N,S,,,,,2,Y,HS,
m325,y52,mk_3,12,Hw,5.7,102.8,,SN,17.5,,Y,-,-,-,-,-,-,-,-,,,,,-,Y,,
m326,y59,mk_3,12,Hw,4.8,110.5,,SN,14,,N,-,-,-,-,-,-,-,-,DRA,,,,-,Y,,
m327,y70,mk_3,12,Hw,4.4,113.7,,RD,26.9,,Y,N,2,1,0,Y,4,N,-,DRA,,,,-,Y,,
m328,y122,mk_3,12,Hw,3.9,113.7,,DS,9.9,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,Y,,
m329,y60,mk_3,12,Fd,3.2,133.9,,LS,81.6,,N,-,-,-,-,-,-,-,D,,,,,1,N,HS,
m330,y100,mk_3,12,Hw,5.7,138.4,,RD,13.7,,Y,N,1,1,0,N,-,N,-,U,,,,-,Y,,
m331,y102,mk_3,12,Hw,9.5,133.9,,LS,18.8,,Y,N,1,1,0,N,-,N,S,,,,,2,Y,NH,
m332,y28,mk_3,12,Hw,5,165.8,,LS,16.6,,Y,Y,2,0,0,N,-,N,S,,,1,,1,N,B,
m333,y58,mk_3,12,Hw,2.1,158.3,,SN,10.8,,N,-,-,-,-,-,-,-,-,,,,,-,N,,
m334,y23,mk_3,12,Hw,2.8,200.8,,LS,51.6,39.2,Y,N,2,2,1,Y,1,N,C,IB,AX,4,,1,N,,
m335,y46,mk_3,12,Hw,4.2,212.6,,RD,9.5,,Y,N,1,0,1,N,-,N,-,DRA,,,,-,N,HS,
m336,y129,mk_3,12,Hw,4.9,232.6,,RD,10,,Y,N,1,1,1,N,-,N,-,DRA,,,,-,N,HS,
m337,y51,mk_3,12,Hw,7,236.1,,LS,19.1,,Y,Y,0,0,0,N,-,N,I,,,,,1,N,,
m338,y53,mk_3,12,Hw,5.4,249.7,,LS,26,,Y,Y,0,1,0,N,-,N,I,,,,,1,N,HS,
m339,w25,mk_3,11,Hw,1.9,239.8,,LS,14.4,,Y,Y,2,1,0,Y,8,N,S,,,,,1,N,NH,
m340,w118,mk_3,11,Ep,7.8,237.2,,SN,9.5,,-,-,-,-,-,-,-,-,-,,,,,-,N,,
m341,w107,mk_3,11,Hw,4.9,292.4,,LS,26.5,,Y,Y,2,2,1,Y,1,Y,I,,,7,,1,N,HS,
m342,w101,mk_3,11,Hw,6.1,305.7,,LS,18.6,,Y,Y,2,1,0,Y,1,N,S,DS,,2,,1,N,,
m343,w36,mk_3,11,Hw,7.3,314.5,,LS,24.7,,Y,Y,2,1,1,N,-,N,I,,,,,1,N,NH,
m344,w119,mk_3,11,Hw,8.6,331.3,,LS,31.1,,Y,Y,1,1,1,N,-,N,I,,,,,1,N,B,
m345,w66,mk_3,11,Hw,5.8,339.7,,LS,12.8,,Y,Y,2,1,1,N,-,N,S,,,,,1,N,HS,
m346,w13,mk_3,11,Hw,5.1,342.6,,LS,10.7,,Y,Y,2,1,1,Y,1,N,S,,,1,,1,N,HS,
m347,w48,mk_3,11,Hw,8,347.5,,LS,21.2,,Y,N,2,2,1,N,-,N,I,,,,,1,N,HS,
m348,w38,mk_3,11,Hw,8.2,349.2,,LS,14.9,,Y,Y,2,2,1,N,-,N,S,,,,,2,N,HS,
m349,w62,mk_3,11,Hw,7,13.2,,LS,11.6,,Y,N,2,2,1,Y,1,N,S,,,,,1,N,NH,
m350,w68,mk_3,11,Hw,7,18.9,,LL,43.4,,Y,N,2,2,1,Y,7,N,C,,,,,1,N,B,
m351,w60,mk_3,11,Hw,8,38.3,,LS,35.1,,Y,Y,2,2,2,Y,7,N,I,,,1,,1,N,HS,
m352,w128,mk_3,11,Hw,7.6,42.8,,LS,9.7,,Y,N,0,1,2,N,-,N,S,,,5,,2,Y,HS,
m353,w16,mk_3,11,Hw,8.4,51,,SN,13,,N,-,-,-,-,-,-,-,-,U,,,,-,Y,,
m354,w17,mk_3,11,Hw,5.7,34.1,,SN,9.3,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m355,w41,mk_3,11,Hw,5.6,39.9,,LS,11.4,,Y,Y,2,0,0,N,-,N,S,,,1,,1,N,HS,
m356,w37,mk_3,11,Hw,5,52.2,,LS,10.1,,Y,Y,2,2,1,N,-,N,S,,,-,,1,N,,
m357,w3,mk_3,11,Hw,4.9,62.2,,LS,10.6,,Y,N,2,1,0,N,-,N,S,,,1,,1,Y,HS,
m358,w112,mk_3,11,Fd,7.1,61.1,,LS,68.8,,-,-,-,-,-,-,-,-,D,,,,,1,Y,,
m359,w4,mk_3,11,Hw,4.6,77.5,,LS,16.9,,Y,Y,2,1,0,Y,1,Y,S,,,,,1,Y,HS,
m360,w20,mk_3,11,Hw,3.3,72.4,,LS,18.5,,Y,Y,1,1,1,Y,3,N,S,,,,,1,N,NH,
m361,w1,mk_3,11,Hw,2.7,92.3,,DS,9.4,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,N,,
m362,w109,mk_3,11,Hw,3.8,107.1,,LS,52.5,36.8,Y,N,2,2,2,Y,7,N,C,,,,,1,Y,NH,
m363,w125,mk_3,11,Hw,6.7,112,,LS,16.9,,Y,Y,1,1,1,Y,8,Y,S,,,,,1,Y,NH,
m364,w51,mk_3,11,Hw,9,115.6,,LS,15.9,,Y,Y,2,1,0,Y,1,Y,S,,,,,1,Y,NH,
m365,w67,mk_3,11,Hw,6.1,147.1,,LS,14.7,,Y,Y,1,1,0,Y,8,N,S,,,,,2,Y,NH,
m366,w104,mk_3,11,Hw,7.1,160,,SN,29.2,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,Y,,
m367,w10,mk_3,11,Hw,8.1,154,,SN,24.9,,N,-,-,-,-,-,-,-,-,U,,,,-,Y,,
m368,w792,mk_3,11,Hw,8.5,160,,DS,10.7,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,Y,,
m369,w32,mk_3,11,Hw,8.8,176.8,,LS,51.4,,Y,N,2,2,2,Y,7,N,C,,,,,1,N,NH,Broom positon was incorrectly recorded. Guessd it was 7 based off DMR an memory of site. 
m370,w21,mk_3,11,Hw,10.4,160,,LS,48.6,,Y,Y,2,2,1,Y,4,N,C,,,,,1,Y,,
m371,w44,mk_3,11,Cw,11.8,172.2,,LS,29.7,,N,-,-,-,-,-,-,-,I,,,2,4,1,Y,B,
