tree_id,flag_id,site_id,transect_id,spp,dist_x,dist_y,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,notes
r1,w60,mi_1,136,Hw,-0.6,2.4,LS,20.9,17.2,Y,Y,0,1,0,N,-,-,C,,,-,-,1,
r2,w118,mi_1,136,Hw,-0.4,3.3,DS,6.1,,N,-,-,-,-,-,-,-,-,,,-,-,-,
r3,w10,mi_1,136,Hw,1.4,3.0,LS,8.7,,N,-,-,-,-,-,-,-,S,,,-,-,1,
r4,w67,mi_1,136,Dr,1.5,3.2,LS,7.3,,-,-,-,-,-,-,-,-,S,,,-,-,1,
r5,w116,mi_1,136,Hw,0.1,4.6,LS,9.1,,Y,N,1,0,0,N,-,-,S,,,-,-,1,
r6,w59,mi_1,136,Hw,-1.5,3.9,LS,18.7,20.4,Y,Y,0,0,0,N,-,-,C,,,-,-,1,
r7,w21,mi_1,136,Hw,-2.0,6.4,LS,4.2,,N,-,-,-,-,-,-,-,S,,,-,-,2,
r8,w52,mi_1,136,Ep,0.1,7.1,LS,11.7,,-,-,-,-,-,-,-,-,C,,,-,-,1,
r9,w50,mi_1,136,Ep,0.5,10.1,LS,10.0,,-,-,-,-,-,-,-,-,C,,,-,-,1,
r10,w53,mi_1,136,Dr,0.1,10.4,LS,9.6,,-,-,-,-,-,-,-,-,I,,,-,-,1,
r11,w14,mi_1,136,Fd,-0.3,10.7,LS,21.8,,Y,Y,0,0,0,N,-,-,C,,,-,-,2,signs of HDM
r12,w15,mi_1,136,Fd,2.1,12.3,LS,11.0,,N,-,-,-,-,-,-,-,I,,,-,-,2,SNC?
r13,w37,mi_1,136,Hw,-0.5,13.1,LF,13.6,,N,-,-,-,-,-,-,-,I,,,-,-,2,
r14,w75,mi_1,136,Fd,0.2,13.7,LS,19.0,,Y,Y,0,0,0,N,-,-,C,,,1,-,2,signs of HDM below live crown
r15,w119,mi_1,136,Mv,1.1,13.5,LS,4.9,,-,-,-,-,-,-,-,-,S,,,-,-,1,
r16,w47,mi_1,136,Hw,2.3,13.5,LS,26.9,22.1,Y,N,0,1,0,N,-,-,C,,,-,-,1,
r17,y36,mi_1,140,Hw,1.7,0.7,LS,17.0,,Y,Y,2,1,0,Y,1,Y,I,,,,,1,
r18,y12,mi_1,140,Hw,1.5,1.4,SN,8.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r19,y63,mi_1,140,Hw,0.3,2.3,SN,8.4,,Y,-,-,-,-,-,-,-,-,,,,,-,resid #1
r20,y66,mi_1,140,Hw,-1.7,3.1,LS,27.7,,Y,Y,2,2,1,Y,1,Y,C,,,,,1,
r21,y5,mi_1,140,Hw,-2.0,4.3,SN,5.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r22,y65,mi_1,140,Hw,1.1,6.4,LS,23.6,24.3,Y,Y,1,1,0,N,-,-,C,,,,,1,
r23,y61,mi_1,140,Hw,-2.2,8.3,LS,12.8,,Y,Y,1,1,1,N,-,-,C,,,,,1,
r24,y4,mi_1,140,Hw,-1.2,9.1,LS,21.0,,Y,Y,1,1,1,Y,1,N,C,,,,,1,
r25,y62,mi_1,140,Hw,-1.4,9.5,LS,18.9,,Y,Y,1,1,0,N,-,-,C,,,,,1,
r26,y67,mi_1,140,Hw,1.1,9.9,LS,15.9,,Y,Y,0,0,0,N,-,-,C,,,,,1,forked with r27
r27,y8,mi_1,140,Hw,0.9,10.1,LS,22.9,21.5,N,-,-,-,-,-,-,-,C,,,,,1,forked with r26
r28,y3,mi_1,140,Fd,-1.4,11.0,LS,17.2,,N,-,-,-,-,-,-,-,C,,,,,2,
r29,y7,mi_1,140,Hw,-1.5,14.2,LS,29.0,,Y,Y,0,1,0,N,-,-,C,,,,,1,
r30,y70,mi_1,140,Fd,0.3,14.8,DS,12.9,,N,-,-,-,-,-,-,-,-,,,7,,3,
r31,y64,mi_1,140,Hw,1.6,16.2,LS,33.1,23.3,Y,Y,1,0,0,N,-,-,D,,,,,1,
r32,y71,mi_1,140,Fd,0.2,17.4,LS,11.3,,N,-,-,-,-,-,-,-,I,DF,,7,,2,
r33,y58,mi_1,140,Hw,-0.5,18.2,LL,4.0,,N,-,-,-,-,-,-,-,S,,,1,,2,
r34,y6,mi_1,140,Hw,-2.4,19.3,LL,4.2,,N,-,-,-,-,-,-,-,S,,,,,2,
r35,y68,mi_1,140,Fd,-2.5,20.4,LS,14.0,,N,-,-,-,-,-,-,-,C,,,,,2,
r36,y60,mi_1,140,Fd,-0.1,22.0,LS,24.7,,N,-,-,-,-,-,-,-,D,,,,,2,
r37,y59,mi_1,141,Hw,-0.4,3.7,DS,5.7,,Y,-,-,-,-,-,-,-,-,DR,,,,-,
r38,y120,mi_1,141,Fd,-1.4,4.0,DS,10.6,,N,-,-,-,-,-,-,-,-,,,,,-,
r39,y14,mi_1,141,Hw,1.5,5.0,LS,15.7,,Y,Y,2,2,1,Y,1,Y,I,,,,,1,
r40,y9,mi_1,141,Hw,2.1,6.5,LS,33.0,28.6,Y,Y,2,1,0,Y,4,Y,D,,,,,1,Resid #3
r41,y20,mi_1,141,Mv,-1.7,6.8,LL,4.7,,-,-,-,-,-,-,-,-,S,,,,,2,clump (r41-r44)
r42,y19,mi_1,141,Mv,-1.7,6.8,DS,4.0,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r41-r44)
r43,y22,mi_1,141,Mv,-1.7,6.8,LS,4.4,,-,-,-,-,-,-,-,-,S,,,,,2,clump (r41-r44)
r44,y23,mi_1,141,Mv,-1.7,6.8,DS,4.3,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r41-r44)
r45,y57,mi_1,141,Mv,-1.7,7.9,SN,4.1,,-,-,-,-,-,-,-,-,-,,,,,-,
r46,y48,mi_1,141,Mv,2.1,8.1,SN,5.0,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r46-r47)
r47,y32,mi_1,141,Mv,2.1,8.1,LL,4.6,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r46-r47)
r48,y10,mi_1,141,Hw,1.2,9.6,LS,19.4,,Y,Y,1,1,0,Y,1,N,C,,,,,1,
r49,y16,mi_1,141,Hw,0.2,9.6,LS,25.0,23.5,Y,Y,1,1,0,N,-,-,C,,,,,1,
r50,y106,mi_1,141,Hw,-2.5,9.6,LS,36.0,,Y,Y,2,1,0,Y,4,Y,D,,,,,1,
r51,y18,mi_1,141,U,-1.6,9.9,SN,6.5,,-,-,-,-,-,-,-,-,-,,,,,-,
r52,y17,mi_1,141,Hw,-1.4,10.0,LS,19.6,20.5,Y,Y,0,1,0,N,-,-,C,,,,,1,
r53,y11,mi_1,141,Hw,0.8,10.3,LS,21.4,,Y,Y,1,1,0,N,-,-,C,,,,,1,
r54,y15,mi_1,141,Dr,0.6,10.9,LS,6.2,,-,-,-,-,-,-,-,-,I,DF,,,,2,SNC
r55,y41,mi_1,141,Fd,0.4,13.7,LS,17.5,,N,-,-,-,-,-,-,-,C,DF,,,,2,SNC
r56,y35,mi_1,141,Fd,2.3,15.1,LS,25.0,,N,-,-,-,-,-,-,-,D,DF,,,,2,SNC
r57,y101,mi_1,141,Fd,1.8,17.1,LS,19.2,,N,-,-,-,-,-,-,-,C,,,,,2,
r58,y112,mi_1,141,Fd,-0.7,17.1,SN,21.5,,-,-,-,-,-,-,-,-,-,,,,,-,
r59,y33,mi_1,141,Mv,0.8,18.0,LL,4.9,,-,-,-,-,-,-,-,-,S,,,,,1,
r60,y111,mi_1,141,Mv,0.8,18.0,LL,4.2,,-,-,-,-,-,-,-,-,S,,,,,1,
r61,y55,mi_1,141,Fd,0.6,19.8,LS,22.5,,N,-,-,-,-,-,-,-,D,DF,,,,2,SNC
r62,,cr_1,166,Dr,0.1,8.3,LS,15.7,,-,-,-,-,-,-,-,-,C,,,,,1,
r63,w9,cr_1,166,Hw,-1.1,11.4,LS,20.7,22.8,Y,Y,1,0,0,N,-,Y,C,,,,,1,
r64,,cr_1,166,Cw,-0.2,14.3,LS,9.3,,-,-,-,-,-,-,-,-,S,,,,,1,
r65,w31,cr_1,166,Hw,2.0,15.3,LS,27.7,,Y,Y,1,1,0,Y,8,N,C,,,,,1,
r66,,cr_1,166,Cw,-2.4,15.9,DS,5.0,,-,-,-,-,-,-,-,-,S,,,,,-,
r67,,cr_1,166,Cw,-2.4,15.9,LS,7.2,,-,-,-,-,-,-,-,-,S,,,,,1,
r68,,cr_1,166,Dr,-1.5,17.6,LS,15.4,,-,-,-,-,-,-,-,-,C,,,,,1,
r69,,cr_1,166,Mb,-1.6,17.6,LS,4.4,,-,-,-,-,-,-,-,-,I,,,,,1,
r70,w21,cr_1,166,Hw,1.4,20.3,LS,7.6,,Y,Y,0,0,0,N,-,N,S,,,,,1,
r71,w102,cr_1,166,Hw,-0.9,19.9,LS,11.2,,Y,Y,1,0,0,N,-,N,I,,,7,,1,
r72,w112,cr_1,166,Hw,2.3,20.7,LS,21.1,,Y,Y,1,0,0,Y,1,N,C,,,1,,1,
r73,w68,cr_1,166,Hw,2.4,20.7,DS,8.4,,N,-,-,-,-,-,-,-,-,,,,,-,
r74,,cr_1,166,Hw,0.5,20.8,DS,9.3,,N,-,-,-,-,-,-,-,-,,,,,-,
r75,,cr_1,166,Hw,0.8,20.8,DS,4.9,,N,-,-,-,-,-,-,-,-,,,,,-,
r76,,cr_1,166,Hw,-1.0,21.0,DS,5.0,,N,-,-,-,-,-,-,-,-,,,,,-,
r77,w30,cr_1,166,Hw,0.3,21.8,LS,8.1,,Y,N,0,0,1,N,-,N,S,,,2,,1,
r78,w24,cr_1,166,Hw,-0.2,22.2,LS,22.1,27.7,Y,N,1,1,0,N,-,Y,C,,,1,,1,
r79,,cr_1,166,Fd,1.5,23.7,LS,21.4,,N,-,-,-,-,-,-,-,C,,,-,,2,
r80,,cr_1,166,Fd,1.3,24.4,DS,8.5,,-,-,-,-,-,-,-,-,-,,,1,,-,
r81,,cr_1,166,Dr,0.2,24.7,LS,13.2,,-,-,-,-,-,-,-,-,C,,,-,,1,
r82,w55,cr_1,166,Hw,-1.7,25.7,LS,7.8,,N,-,-,-,-,-,-,-,S,,,-,,1,
r83,w28,cr_1,166,Hw,-2.5,25.4,LS,14.5,,N,-,-,-,-,-,-,-,I,,,-,,1,
r84,w58,cr_1,166,Hw,-2.5,24.9,LS,11.1,,N,-,-,-,-,-,-,-,I,,,4,,1,
r85,,cr_1,166,Hw,-1.9,27.1,SN,4.6,,-,-,-,-,-,-,-,-,-,,,,,-,
r86,,cr_1,166,Hw,1.5,24.9,DS,5.1,,N,-,-,-,-,-,-,-,-,,,,,-,
r87,,cr_1,166,Dr,1.3,25.7,LS,17.3,,-,-,-,-,-,-,-,-,C,,,,,1,
r88,,cr_1,166,Dr,1.9,25.4,SN,6.6,,-,-,-,-,-,-,-,-,-,,,,,-,
r89,w67,cr_1,166,Hw,2.4,25.6,LS,7.5,,N,-,-,-,-,-,-,-,S,,,,,1,
r90,,cr_1,166,Hw,0.5,26.1,DS,6.8,,N,-,-,-,-,-,-,-,-,,,1,,-,
r91,,cr_1,166,Fd,-0.3,28.4,LS,10.5,,N,-,-,-,-,-,-,-,I,,,-,,2,
r92,w75,cr_1,166,Hw,1.0,28.6,LS,6.6,,N,-,-,-,-,-,-,-,S,,,1,,1,
r93,,cr_1,166,Dr,-1.1,29.2,LS,17.6,,-,-,-,-,-,-,-,-,C,,,,,1,
r94,w11,cr_1,166,Hw,-2.3,29.7,LS,12.3,,Y,N,1,0,0,N,-,N,I,,,1,,1,
r95,,cr_1,166,Hw,-2.1,29.9,DS,5.7,,N,-,-,-,-,-,-,-,-,,,,,-,
r96,,cr_1,166,Hw,-1.0,30.0,SN,5.5,,N,-,-,-,-,-,-,-,-,,,,,-,
r97,,cr_1,166,Fd,-1.3,30.9,LS,22.0,,N,-,-,-,-,-,-,-,C,,,,,2,
r98,w48,cr_1,166,Hw,-2.1,31.0,LS,9.7,,N,-,-,-,-,-,-,-,I,DS,,1,,2,
r99,w49,cr_1,166,Hw,0.6,29.8,LS,22.2,23.3,N,-,-,-,-,-,-,-,C,,,,,1,
r100,w42,cr_1,166,Hw,2.4,29.1,LL,8.7,,N,-,-,-,-,-,-,-,S,TM,,,,2,hit by dead fallen tree
r101,w3,cr_1,166,Hw,2.3,32.5,LS,11.6,,N,-,-,-,-,-,-,-,I,,,,,1,
r102,w51,cr_1,166,Hw,1.7,34.0,LL,4.5,,N,-,-,-,-,-,-,-,S,TM,,,,2,hit by dead fallen tree
r103,w26,cr_1,166,Hw,1.7,34.9,LS,20.5,22.3,Y,Y,0,0,0,N,-,N,C,,,,,1,Infection perimeter tree
r104,w29,cr_1,166,Hw,1.4,33.1,LS,20.6,,N,-,-,-,-,-,-,-,C,,,,,1,
r105,w22,cr_1,166,Hw,1.9,33.2,LS,11.8,,N,-,-,-,-,-,-,-,I,,,,,1,forked with r106
r106,w64,cr_1,166,Hw,1.9,33.2,LS,17.1,,N,-,-,-,-,-,-,-,I,,,,,1,forked with r105
r107,w69,cr_1,166,Hw,1.4,33.5,LS,17.9,,N,-,-,-,-,-,-,-,C,,,,,1,
r108,w4,cr_1,165,Hw,0.6,11.5,LS,23.0,22.2,Y,Y,2,0,0,N,-,N,C,,,7,,1,
r109,,cr_1,165,Hw,0.5,11.9,SN,5.5,,N,-,-,-,-,-,-,-,-,,,-,,-,
r110,,cr_1,165,Dr,0.4,12.9,LS,16.9,,N,-,-,-,-,-,-,-,C,,,-,,1,
r111,w52,cr_1,165,Hw,0.2,13.2,LL,5.7,,N,-,-,-,-,-,-,-,S,,,1,,1,
r112,w100,cr_1,165,Hw,0.0,13.5,LS,14.6,,Y,Y,2,1,0,N,-,N,I,,,,,1,
r113,,cr_1,165,Hw,2.1,13.4,SN,14.9,,N,-,-,-,-,-,-,-,-,TM,,,,-,
r114,w107,cr_1,165,Hw,1.0,15.0,LL,10.6,,Y,Y,1,0,0,N,-,N,S,,,,,1,
r115,,cr_1,165,Hw,-0.3,15.1,DS,4.4,,N,-,-,-,-,-,-,-,-,,,,,-,
r116,,cr_1,165,Hw,-0.9,16.7,DS,4.5,,N,-,-,-,-,-,-,-,-,,,,,-,
r117,w63,cr_1,165,Hw,-1.2,16.5,LS,4.9,,N,-,-,-,-,-,-,-,S,,,,,2,
r118,w46,cr_1,165,Hw,-2.0,16.8,LS,31.6,,Y,Y,1,0,0,N,-,Y,C,,,,,1,
r119,,cr_1,165,Dr,0.2,17.2,LS,15.3,,N,-,-,-,-,-,-,-,C,,,,,1,
r120,w33,cr_1,165,Hw,0.5,17.5,LS,6.2,,Y,N,0,1,0,N,-,N,S,,,,,1,
r121,w54,cr_1,165,Hw,1.2,17.5,LS,13.0,,Y,N,0,1,0,N,-,N,I,,,,,1,
r122,w65,cr_1,165,Hw,1.4,19.1,LL,8.9,,N,-,-,-,-,-,-,-,S,,,,,2,
r123,w2,cr_1,165,Hw,-0.8,18.8,LS,25.4,,Y,Y,1,1,0,N,-,N,C,,,,,1,
r124,w60,cr_1,165,Hw,-0.3,19.7,LS,19.5,,Y,Y,0,0,0,N,-,N,C,,,,,1,
r125,,cr_1,165,Hw,-0.8,19.8,DS,5.5,,N,-,-,-,-,-,-,-,-,,,,,-,forked wtih r126
r126,,cr_1,165,Hw,-0.8,19.8,DS,5.9,,N,-,-,-,-,-,-,-,-,,,,,-,forked with r125
r127,,cr_1,165,Fd,-2.2,20.6,LS,13.8,,N,-,-,-,-,-,-,-,I,,,1,,2,
r128,,cr_1,165,Hw,1.5,21.1,SN,10.4,,N,-,-,-,-,-,-,-,-,,,,,-,
r129,w66,cr_1,165,Hw,0.9,21.5,LS,11.5,,N,-,-,-,-,-,-,-,I,,,,,1,
r130,w38,cr_1,165,Hw,0.0,22.0,LL,9.2,,N,-,-,-,-,-,-,-,S,,,,,1,
r131,w5,cr_1,165,Hw,-0.2,23.3,LS,17.1,,N,-,-,-,-,-,-,-,C,,,,,1,forked with r132
r132,w32,cr_1,165,Hw,-0.2,23.3,LS,12.9,,N,-,-,-,-,-,-,-,I,,,5,,1,forked with r131
r133,,cr_1,165,Fd,-1.3,24.0,LS,16.7,,N,-,-,-,-,-,-,-,D,,,,,2,
r134,,cr_1,165,Dr,-1.8,26.8,LS,22.0,,N,-,-,-,-,-,-,-,D,,,,,1,
r135,w74,cr_1,165,Hw,1.2,25.3,LS,21.0,25.1,Y,N,1,0,0,N,-,N,C,,,,,1,
r136,w13,cr_1,165,Hw,1.2,26.6,LS,20.0,22.1,Y,Y,0,0,0,N,-,Y,C,,,,,1,
r137,,cr_1,165,Dr,2.1,31.4,DS,12.5,,N,-,-,-,-,-,-,-,-,,,,,-,
r138,w37,cr_1,165,Hw,-2.0,32.3,LS,24.8,21.2,Y,N,1,0,0,N,-,N,C,,,,,2,infection perimeter tree
r139,,cr_1,165,Fd,-0.8,34.6,LS,24.0,,N,-,-,-,-,-,-,-,C,,,,,1,
r140,,cr_1,164,Hw,-2.3,0.5,DS,5.3,,Y,-,-,-,-,-,-,-,-,,,,,-,
r141,,cr_1,164,Hw,0.2,1.0,DS,4.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r142,y15,cr_1,164,Hw,1.3,0.3,LS,4.7,,N,-,-,-,-,-,-,-,S,,,1,,1,
r143,y31,cr_1,164,Hw,0.6,1.3,LS,12.7,,Y,Y,1,0,0,N,-,N,I,DS,,,,1,
r144,y100,cr_1,164,Hw,2.4,1.4,LS,5.4,,N,-,-,-,-,-,-,-,S,,,,,1,
r145,y119,cr_1,164,Hw,1.4,2.4,LS,7.4,,Y,Y,0,1,0,N,-,N,S,,,,,1,
r146,y102,cr_1,164,Hw,2.3,4.1,LS,11.3,,Y,Y,2,1,1,N,-,Y,I,,,,,1,
r147,y45,cr_1,164,Hw,-1.9,3.0,LS,9.5,,Y,Y,0,0,0,N,-,N,S,,,,,1,
r148,,cr_1,164,Hw,-2.5,4.2,DS,4.8,,Y,-,-,-,-,-,-,-,-,,,,,-,
r149,,cr_1,164,Hw,-2.5,4.7,DS,6.0,,Y,-,-,-,-,-,-,-,-,,,,,-,
r150,y113,cr_1,164,Hw,-1.4,5.3,LS,8.5,,Y,Y,2,1,0,N,-,Y,S,,,1,,1,
r151,,cr_1,164,Hw,-0.7,5.3,DS,5.8,,N,-,-,-,-,-,-,-,-,DRA,,,,-,forked with r152
r152,,cr_1,164,Hw,-0.7,5.3,DS,6.3,,Y,-,-,-,-,-,-,-,-,DRA,,,,-,forked with r151
r153,,cr_1,164,Dr,0.2,7.6,LS,14.0,,-,-,-,-,-,-,-,-,C,,,,,1,
r154,y38,cr_1,164,Hw,-1.8,8.6,LL,15.1,,Y,Y,2,1,1,N,-,Y,S,,,1,,1,
r155,y22,cr_1,164,Hw,2.3,8.7,LS,9.3,,Y,Y,0,0,0,N,-,N,S,,,,,1,forked with r156
r156,,cr_1,164,Hw,2.3,8.7,DS,6.1,,Y,-,-,-,-,-,-,-,-,,,,,-,forked with r155
r157,,cr_1,164,Hw,-1.9,9.3,DS,5.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r158,y17,cr_1,164,Hw,-1.5,9.8,LS,6.0,,N,-,-,-,-,-,-,-,S,,,,,1,
r159,y6,cr_1,164,Hw,2.4,8.5,LS,21.5,20.7,Y,Y,1,0,0,N,-,Y,C,,,,,1,
r160,,cr_1,164,Fd,1.4,11.5,DS,25.0,,N,-,-,-,-,-,-,-,-,,,,,-,
r161,y37,cr_1,164,Hw,-0.8,14.5,LS,14.3,,Y,N,0,1,0,N,-,N,I,,,,,1,
r162,y66,cr_1,164,Hw,-1.1,13.9,LS,18.8,15.6,Y,Y,0,0,0,N,-,N,C,,,,,1,
r163,,cr_1,164,Dr,-1.1,14.7,LS,26.0,,-,-,-,-,-,-,-,-,C,,,5,,2,
r164,,cr_1,164,Dr,-1.9,14.0,LS,9.8,,-,-,-,-,-,-,-,-,I,,,-,,1,
r165,,cr_1,164,Fd,0.6,17.2,LS,28.1,,N,-,-,-,-,-,-,-,C,,,7,,1,
r166,,cr_1,164,Hw,2.3,19.8,DS,8.0,,N,-,-,-,-,-,-,-,-,,,-,,-,
r167,,cr_1,164,Dr,1.6,21.1,LL,14.7,,-,-,-,-,-,-,-,-,C,,,-,,1,
r168,y35,cr_1,164,Hw,-0.5,21.5,LS,28.5,23.3,Y,Y,1,0,0,N,-,N,C,,,-,,1,Infection perimeter tree
r169,,cr_1,164,Fd,1.3,22.5,LS,16.3,,N,-,-,-,-,-,-,-,I,,,7,,2,
r170,,cr_1,164,Dr,0.7,23.5,DS,9.9,,-,-,-,-,-,-,-,-,-,,,-,,-,
r171,,cr_1,164,Hw,-1.2,24.3,LS,8.7,,N,-,-,-,-,-,-,-,S,,,4,,2,
r172,,cr_1,164,Mb,-0.9,26.6,LS,4.5,,-,-,-,-,-,-,-,-,S,,,,,1,
r173,,cr_1,164,Dr,0.9,26.7,LS,14.8,,-,-,-,-,-,-,-,-,C,,,,,1,
r174,,cr_1,164,Fd,-0.4,29.3,LS,27.5,,N,-,-,-,-,-,-,-,C,,,,,2,
r175,,cr_1,164,Dr,-0.6,28.0,LS,10.5,,-,-,-,-,-,-,-,-,I,,,,,1,"WATCH OUT, WASP NEST NEAR TREE; estimated dbh"
r176,,cr_1,164,Dr,1.1,30.6,SN,15.3,,-,-,-,-,-,-,-,-,-,,,,,-,
r177,,cr_1,164,Fd,1.5,31.7,DS,9.0,,N,-,-,-,-,-,-,-,-,,,,,-,
r178,,cr_1,164,Fd,1.1,33.9,LS,30.7,,N,-,-,-,-,-,-,-,C,,,,,1,
r179,w61,ph_1,258,Hw,-0.4,15.1,LS,21.8,20.6,N,-,-,-,-,-,-,-,C,,,7,,1,
r180,w29,ph_1,258,Hw,-0.5,15.7,LS,11.8,,N,-,-,-,-,-,-,-,I,,,-,,1,
r181,w122,ph_1,258,Hw,-1.0,15.4,LS,10.9,,N,-,-,-,-,-,-,-,I,,,-,,1,
r182,w16,ph_1,258,Hw,-1.6,16.1,LS,9.3,,N,-,-,-,-,-,-,-,I,,,-,,1,
r183,w15,ph_1,258,Hw,-1.7,15.9,LS,7.6,,N,-,-,-,-,-,-,-,I,,,2,,1,
r184,,ph_1,258,Hw,-1.9,16.3,LS,5.5,,N,-,-,-,-,-,-,-,S,,,,,1,
r185,w49,ph_1,258,Hw,-2.0,16.0,LS,8.8,,N,-,-,-,-,-,-,-,I,,,,,1,
r186,w21,ph_1,258,Hw,-1.2,17.5,LS,7.6,,N,-,-,-,-,-,-,-,S,,,,,1,clump r186-r188
r187,w9,ph_1,258,Hw,-1.2,17.5,LS,10.0,,N,-,-,-,-,-,-,-,I,,,,,1,clump r186-r188
r188,,ph_1,258,Hw,-1.2,17.5,LS,4.3,,N,-,-,-,-,-,-,-,S,,,,,2,clump r186-r188
r189,w23,ph_1,258,Hw,-2.1,17.8,LS,7.4,,N,-,-,-,-,-,-,-,S,,,,,1,
r190,w115,ph_1,258,Hw,-1.7,18.4,LS,13.9,,N,-,-,-,-,-,-,-,C,,,,,1,
r191,w32,ph_1,258,Hw,-2.2,18.1,LS,10.2,,N,-,-,-,-,-,-,-,S,,,1,,1,
r192,w13,ph_1,258,Hw,-2.4,18.1,LS,13.6,,N,-,-,-,-,-,-,-,I,,,,,1,forked with r193
r193,w119,ph_1,258,Hw,-2.4,18.1,LS,13.6,,N,-,-,-,-,-,-,-,I,,,,,1,forked with r192
r194,w52,ph_1,258,Hw,-1.3,17.6,LS,12.2,,N,-,-,-,-,-,-,-,I,,,,,1,
r195,w5,ph_1,258,Hw,-1.3,17.8,LS,7.0,,N,-,-,-,-,-,-,-,S,,,,,1,
r196,w121,ph_1,258,Hw,0.8,17.6,LS,12.5,,N,-,-,-,-,-,-,-,I,,,,,1,
r197,w34,ph_1,258,Hw,1.0,17.3,LS,11.8,,N,-,-,-,-,-,-,-,I,,,,,1,forked with r198
r198,w109,ph_1,258,Hw,1.0,17.3,LS,10.9,,N,-,-,-,-,-,-,-,I,,,1,,1,forked with r197
r199,,ph_1,258,Hw,1.1,17.5,LS,8.4,,N,-,-,-,-,-,-,-,S,,,7,,1,
r200,w101,ph_1,258,Hw,1.5,17.1,LS,19.9,,N,-,-,-,-,-,-,-,C,,,,,1,
r201,w66,ph_1,258,Hw,1.2,15.1,LS,10.6,,N,-,-,-,-,-,-,-,I,,,,,1,
r202,w26,ph_1,258,Hw,1.3,15.2,LS,15.0,,N,-,-,-,-,-,-,-,I,,,,,1,
r203,w4,ph_1,258,Hw,1.4,15.0,LS,9.1,,Y,Y,0,0,0,N,-,N,S,,,,,1,
r204,,ph_1,258,Hw,0.3,13.9,LS,5.2,,N,-,-,-,-,-,-,-,S,,,,,1,forked with r205
r205,,ph_1,258,Hw,0.3,13.9,LS,4.8,,N,-,-,-,-,-,-,-,S,,,,,1,forked with r204
r206,y103,ph_1,259,Hw,-1.2,0.1,LL,18.0,,N,-,-,-,-,-,-,-,I,,,,,1,"fallen, rerooted tree"
r207,y14,ph_1,259,Hw,-0.1,1.5,LS,11.7,,N,-,-,-,-,-,-,-,S,,,7,,1,
r208,y24,ph_1,259,Hw,-0.8,2.0,LS,16.0,,N,-,-,-,-,-,-,-,I,,,,,1,
r209,,ph_1,259,Hw,-0.9,1.8,DS,4.2,,N,-,-,-,-,-,-,-,-,,,,,2,
r210,,ph_1,259,Cw,0.8,3.5,DS,5.0,,-,-,-,-,-,-,-,-,-,,,,,3,
