site_id,id_bec_age_f,EP_name,date_sur_char,date_sur,notes,access_notes,data_notes,site_history,cluster,utm_E,utm_N,dd_X,dd_Y,elevation,Dec,bec,bec_z,bec_sz,bec_var,yr_har_source,yr_har,age,vri_source,vri_proj_yr,site_index,regen_Hw_age,regen_Hw_ht,mature_Hw_age,mature_Hw_ht,OPENING_ID,mk_id,mi_id,screening_id,yr_sur,dd_X_r,dd_Y_r,reg.tot_ba_m2,reg.nstem,reg.tot_ba_m2ha,reg.nstem_ha,mat.tot_ba_m2,mat.nstem,mat.tot_ba_m2ha,mat.nstem_ha,reg.dbh_25perc,reg.dbh_med,reg.dbh_75perc,mat.dbh_25perc,mat.dbh_med,mat.dbh_75perc,reg.dbh_hw_25perc,reg.dbh_hw_med,reg.dbh_hw_75perc,mat.dbh_hw_25perc,mat.dbh_hw_med,mat.dbh_hw_75perc,reg.hwcwfdba_ba_m2,reg.hwcwfdba_nstem,reg.hw_ba_m2,reg.hw_nstem,reg.p_ba_hwcwfdba,reg.p_stem_hwcwfdba,reg.p_ba_hw,reg.p_stem_hw,mat.hwcwfdba_ba_m2,mat.hwcwfdba_nstem,mat.hw_ba_m2,mat.hw_nstem,mat.p_ba_hwcwfdba,mat.p_stem_hwcwfdba,mat.p_ba_hw,mat.p_stem_hw,mat.hwba_ba_m2,mat.hwba_nstem,mat.inf_ba_m2,mat.inf_nstem,mat.p_hwba_ba_inf,mat.p_hwba_nstem_inf,reg.infper_m,reg.infper_sd,reg.inf_ba_m2,reg.inf_nstem,reg.15_hw_ba_m2,reg.15_hw_nstem,reg.15_inf_ba_m2,reg.15_inf_nstem,reg.p_hw15_ba_inf,reg.p_hw15_nstem_inf,reg.s_dmr,reg.s_dmi
cr_1,"cr_1, CWHxm2, 33",Discovery Creek,11 Aug 2023,2023-08-11,This site has two distinct slopes. The mature component slopes steeply downhill to a creek. Part of the mature component edge is actually the edge of a drop off to the creekbed so the mature component width is slightly <10m deep at some points. The regen,18.6 km north from bridge out of Campbell River to browns bay fsr. Left at 1.8 km onto Discovery Creek fsr. Stay on Discovery Creek at 4km. Stay right at 5.8 km. Park at the entrance of road into block on the left at 6.7km. Walk down deactivated road the,NA,Opening gross area = 15ha. Clearcut 1991 (15ha). Spot burned 1991 (0.1ha). Planted 1992 (14ha) with Vexar protective tubes. Free growing declared in 2000.,Campbell River,1043662.195386,574062.979186,-125.388595,50.180606,95,16.35978259,CWHxm2,CWH,xm,2,RESULTS,1990,33,bc,2021,32.4,34,22.1,104,43.8,5805,NA,NA,ss_36,2023,-125.3886,50.18061,0.5349771005908254,39,23.776760026258906,1733.3333333333335,6.055503877397811,43,110.10007049814202,781.8181818181819,5.75,9.3,15,16.2,30,42.55,5.55,7.95,14.524999999999999,16.4,28.5,39.3,0.4171563805069206,34,0.35524108709180957,30,0.7797649283421958,0.8717948717948718,0.6640304541997845,0.7692307692307693,5.331937755210153,40,2.5549897609225263,33,0.8805109967993958,0.9302325581395349,0.4219285153889562,0.7674418604651163,2.5549897609225267,33,2.5549897609225267,33,1,1,22.674724020530256,8.136730562608355,0.8130237583967903,38,0.3552410870918096,30,0.3218616651474181,22,0.9060372711454832,0.7333333333333333,0.6785714285714286,1.2258064516129032
cr_2,"cr_2, CWHxm2, 38",Beach Main FSR,15 Aug 2023,2023-08-15,Mature component is in a steep creek bed. Regen is on a flat plateau above. Old site past stem exclusion (and may have been thinned). Easy walking.,Lost access notes.,NA,"Opening gross area = 15ha. Planted by container 1987 (14ha). Brushed by hand 1992 (3ha). Juvenile spacing by saw 1998 (17.8ha, maybe over this and another block?). Free growing declared in 1998.",Campbell River,1041587.937277,579385.913542,-125.417027,50.228604,137,16.37487767,CWHxm2,CWH,xm,2,RESULTS,1985,38,bc,2021,32.1,39,24.8,144,35.5,-361910000,NA,NA,ss_32,2023,-125.417,50.2286,0.6776941570562662,31,30.119740313611835,1377.7777777777778,7.723735914945631,51,140.43156208992056,927.2727272727273,4.9,6.8,22.15,21.299999999999997,36,48.1,4.8,5.9,21.5,20.75,34.7,44.875,0.6740624759487163,30,0.6010008117986686,29,0.9946411208216328,0.967741935483871,0.8868319219532093,0.9354838709677419,7.608526643755022,50,3.3712061628535275,34,0.9850837376550283,0.9803921568627451,0.43647351488677333,0.6666666666666666,3.3712061628535266,34,3.3299900380347554,31,0.9877740717037952,0.9117647058823529,12.874435985048299,2.994535918147747,0.6376561294825909,23,0.6010008117986685,29,0.4870089077613263,21,0.8103298667830606,0.7241379310344828,1.1538461538461537,1.7647058823529411
cr_3,"cr_3, CWHxm2, 37",Elk Bay,17 Jul 2024,2024-07-17,"Site fairly uniform. Mature component below regen, with gradual (approx 8 degree) slope. Infection in mature component severe. Some nearby trees appear to have been killed by HDM x drought.","From bridge crossing Campbell River, drive N on highway 19A for 30km to Elk Bay FSR (RR12) just past Roberts Lake. Drive 12.5km and park. If you hit 2km sign, you've gone too far. Walk into site through mature forest. 0.75hrs from Campbell River.","Lots of recently dead trees at this site that we gave DMR values to. Didn't do this consistently across sites, need to think about this. Prunus misrecorded as Pr, should have been V. Listed as CWHxm2 in vri and CWHxm1 in RESULTS.","Opening gross area 16ha. Harvested 1987 by clearcut. Planted 1989, with Fd and Cw. Brush managed by aerial chemical herbicide (9ha) in 1993. Brushed by hand in 1994 (2ha) and 1997 (7.3ha). Free growing desclred in 1999.",Campbell River,1040221.541,583740.1665,-125.435694,50.267836,85,16.275579,CWHxm2,CWH,xm,2,RESULTS,1987,37,NA,NA,NA,NA,NA,NA,NA,28946,NA,NA,ss_44,2024,-125.4357,50.26784,0.7802553762235218,44,34.67801672104542,1955.5555555555557,7.995068989250875,55,145.36489071365227,1000,6.3,10.2,18.1,21.3,31.5,46.1,6.3,9.8,16.5,20.775,30.4,36.650000000000006,0.5753017984941406,36,0.5654497639324831,35,0.7373250041270237,0.8181818181818182,0.7246983246296752,0.7954545454545454,7.826315198270645,53,3.249744336884112,38,0.9788927661278328,0.9636363636363636,0.40646857972749123,0.6909090909090909,3.2497443368841124,38,3.0473967102608843,33,0.9377342936406988,0.868421052631579,33.23409378902298,13.627189884288368,1.3149285277251124,52,0.5654497639324831,35,0.5373772773781681,27,0.9503537036445434,0.7714285714285715,1.178082191780822,1.6842105263157894
mi_1,"mi_1, CWHdm-, 32",Rolley Lake,28 Jun 2023,2023-06-28,Mature component old growth Hw dominated forest. A few residuals right along (within 5m) of block boundary. New cutblock to E of site harvested in 2023. Watch for ground nesting wasps.,"Drive to Rolley Lake Provincial Park. In Park take right turn towards campground. Park at campground visitor parking on right hand side. Walk to the end of the campground to the trail for the falls. When on trail, immediately take right fork. Walk on tha",Site established using slope distance (when it should have been horizontal distance) for edge line. Went back and remeasured with reangefinder and since site is fairly flat it worked out to be the same. Mature component overlaps two vria polygons. Used one to N because it better aligned with what we saw the one to the S was missing data on Hw.,"No RESULTS data. Block area = 6.9ha. Results says harvested 1986 but Kelly Litsch, Forest Technologist a Mission TFL says 1991. Used 1986 for now so this lines up with the rest of the vri data. Site spaced at some point.",Fraser Valley,1264050.819649,476907.175531,-122.375203,49.247661,196,15.67497474,CWHdm-,CWH,dm,-,bc vri,1991,32,bc,2021,22,33,13.2,163,45.1,NA,NA,FID-166,-,2023,-122.3752,49.24766,1.0886113345531574,50,48.38272598014033,2222.222222222222,6.080012227086628,48,110.54567685612051,872.7272727272727,6.275,12.850000000000001,20.575,13.8,20.6,43.525,9,18.799999999999997,23.074999999999996,13.6,20.35,44.775,1.039449336515294,36,0.8459979148888686,28,0.9548397150778859,0.72,0.7771349498543716,0.56,5.980474005450288,47,5.910258624244393,46,0.9836286148911192,0.9791666666666666,0.9720800556804841,0.9583333333333334,5.910258624244394,46,5.805116586712213,40,0.9822102476022151,0.8695652173913043,11.345843556007202,1.9043160081710557,0.8660805459269413,24,0.8459979148888687,28,0.7800315377469534,23,0.9220253667521383,0.8214285714285714,1.5769230769230769,2.05
mi_2,"mi_2, CWHdm-, 29",McCoombs Street,5 Jul 2023,2023-07-05,Mature component nearly pure Hw and has a chest high sea of Hw saplings to work through.,"From the west, follow Dewdney Trunk Road to McCoombs Street. Turn left onto McCoombs and drive approx 400m to parking lot on right for Roy Kittles trail. Walk the trail 200m or so and then veer left into mature timber to navigate to site.","Site initially not established with permanent markers. Permanent ids were given to the regen transects and stem plots after they had been marked with GPS. New regen transect ids: 1=122, 2=124, 3=129. New stem plot ids: 1=014, 2=015, 3=016, 4=017, 5=018, 6=019, 7=020. Could not relocate stem plot 7 (020) with old data, so remeasured trees, from edge end point that was right nearby --> when doing stem mapping use ed.2.mi2 in place of sm.7.mi2. Some other data corrections noted in field notebook updated in datasheets. RESULTS puts this site as CWHdm and vri puts it as CWHvm1. Went with RESUTLS because it seems to have more data. Site index for actual block estimated with Fdc. Used vri polygon in another part of the block that estimated for Hw. Used mature component vri polygon south of the site that juts out into the block to get mature age and height estimates.","Opening gross areas = 12.9ha. Harvested in 1996 by clearcut. Planted from 1994-1996. Brushed by saw in 1996, 1999, 2000 and 2002. Reached free to grow in 2004.",Fraser Valley,1267903.307752,475532.913992,-122.323391,49.233521,199,15.66195716,CWHdm-,CWH,dm,-,RESULTS,1994,29,bc,2021,30,26,14.7,147,33,4601,NA,JL2,-,2023,-122.3234,49.23352,0.6598758289232681,83,29.327814618811917,3688.888888888889,5.633051557075101,61,102.41911921954728,1109.090909090909,5.65,7.8,11.05,23.4,29.8,35.8,5.6,7.65,11.275,23.475,30.6,35.875,0.6566588380459922,82,0.6289523470358204,78,0.9951248541979101,0.9879518072289156,0.9531374229331809,0.9397590361445783,5.633051557075101,61,4.76061399841362,52,1,1,0.8451216805275463,0.8524590163934426,4.76061399841362,52,4.266027569171835,41,0.8961086890458676,0.7884615384615384,12.428106573588995,1.5587804655904407,0.49119193837958114,56,0.6289523470358205,78,0.4711446502588613,54,0.7490943510733546,0.6923076923076923,0.7631578947368421,1.1153846153846154
mk_1,"mk_1, CWHdm-, 33",M Road,7 Jul 2023,2023-07-07,"Mature component with two distinct forest types. W side is steep and open, dominated by Hw with HDM and has lots of blowdown. E side is old growth Fd, Cw and Hw with less HDM.",Lost access notes,"Infection perimeter seq: edge start (ed.1.mk1) to ip.1.mk1 (at ~5m along edge), out to ip.2.mk1 through ip.5.mk1, back to edge at 42.5m transect start (ts.102.mk1), then finish at edge end point (ed.2.mk1). Mature component two distinct forest types, represented by two VRI polygons. W side of site makes up about 2/3 and is younger with a lot of windblown trees; Hw age = 100, ht = 32. E side of site makes up about 1/3 and is old-growth; Hw age = 530, ht = 47.  Estimated age and ht using weighted average = 2/3 (W value) + 1/3 (E value) / ((2/3) + (1/3)). Site index from cutblock, vri polygon but based on Fdc.",Site area (seperated into two harvest polygons but really one square cutblock) = 9.9ha. Clearcut in 1990. No other info on site history.,Fraser Valley,1248471.558445,480754.182363,-122.586185,49.289208,247,15.72353181,CWHdm-,CWH,dm,-,mk harvest,1990,33,mk,2016,35,27,17,243,1,NA,1990-M000-01,NA,ss_96,2023,-122.5862,49.28921,0.7526596263543889,76,33.451538949083954,3377.777777777778,7.9039651584912605,94,143.7084574271138,1709.090909090909,6.550000000000001,8.75,11.825000000000001,11.025,13.6,21.525000000000002,6.7,8.9,13.1,10.850000000000001,13,18.7,0.7276007125530299,72,0.7175075607552095,69,0.9667061804248286,0.9473684210526315,0.9532961987486385,0.9078947368421053,7.873971588029275,92,3.0234907609633925,83,0.9962052501674096,0.9787234042553191,0.38252835131936846,0.8829787234042553,3.023490760963392,83,1.1210655574610668,26,0.3707851771651703,0.3132530120481928,9.796623354996955,8.658206885403464,0.5917268302852714,35,0.7175075607552093,69,0.4459160904542084,28,0.621479291430548,0.4057971014492754,0.45555555555555555,1.2058823529411764
mk_2,"mk_2, CWHvm2, 45",L Road,20 Jul 2023,2023-07-20,This site is close to block corner in the E. may have to remove eastern transect and shorten edge surveyed in future bc it will be impossible to distinguish hdm from this edge from hdm coming from E edge.,"Drive to the N end of L road. Park at spur at 9km on left. Walk down that road till you reach point it was fully deactivated. here we found it easier to bear slightly left and downslope, then parallel the old road until you are below the site. Then walk",Mature component has two vri polygons but they are fairly equivalent. Used the E polygon to get mature component age and height.,Site area = 4.2ha. Harvested in 1978. Too old to have harvest polygon but assuming it was a clearcut.,Fraser Valley,1247636.230358,483357.158417,-122.595925,49.312968,391,15.73100594,CWHvm2,CWH,vm,2,mk vri,1978,45,mk,2016,31,35,21,145,45,NA,-,NA,ss_103,2023,-122.5959,49.31297,0.6955690338570286,58,30.914179282534608,2577.777777777778,8.765400074281706,61,159.37091044148556,1109.090909090909,6.8,10.05,14.25,13.8,31.5,50.4,6.824999999999999,10.05,14.25,11.399999999999999,28.7,45.5,0.6955690338570286,58,0.6633983396861056,54,1,1,0.9537490995070153,0.9310344827586207,8.765400074281704,61,4.6978748223251054,47,0.9999999999999998,1,0.5359566913675734,0.7704918032786885,4.697874822325105,47,4.287987301820427,43,0.9127504380157551,0.9148936170212766,23.768106835853445,4.802155624881433,0.7961753969955883,38,0.6633983396861057,54,0.45824448542505825,31,0.6907531388183481,0.5740740740740741,0.6724137931034483,1.625
mk_3,"mk_3, CWHdm-, 23",F Road,23 Jul 2023,2023-07-23,Site where we thought the mature component wasn't heavily infected immediately next to edge so we mapped mature trees up to 15m hd from edge. Turned out not to be true and there's is some good infected mature trees adjacent to edge. Some advanced Hw regen. Heavy deciduous component and blowdown area affecting transects 115 and 120. The blowdown is marked as lf.1.mk3.,"Super easy access. From MKRF base, drive up F road. Site is on left (W side of road) just past junction with A road. We drove past site and parked at deactivated spur on W side of road and then walked back down the road and into the forest. Should see ma","Infection perimeter seq: edge start (ed.1.mk3) to point on edge line (ip.2.mk3), out to ip.3.mk3 (perpendicular to ip.2.mk3, about 3m into regen), to ip.4.mk3 (in regen), back to edge line between transect 120 and 121 (ip.5.mk3) then along edge to the end through ts.121.mk3 and ed.2.mk3.  Site index based on Fd. Site index in adjacent mature forest for Hw = 30 (used this value).",Site areas = 8.4ha. Harvested by clearcut in 2000. No other info on site history.,Fraser Valley,1249937.698634,479304.901264,-122.567037,49.275542,195,15.71678506,CWHdm-,CWH,dm,-,mk harvest,2000,23,mk,2016,30,16,9,55,30,NA,2000-F000-01,NA,ss_95,2023,-122.567,49.27554,0.39758897066403676,57,17.670620918401635,2533.3333333333335,8.99101433609742,102,163.472987929044,1854.5454545454545,5,6,9,12.1,17.25,41.775000000000006,4.5,5.9,8.5,11.525,16.25,31.475,0.3243121074172181,51,0.2830017348188391,45,0.8156969416821733,0.8947368421052632,0.7117947319971709,0.7894736842105263,8.983926117672757,101,5.443564039979342,86,0.9992116330638908,0.9901960784313726,0.605444929402942,0.8431372549019608,5.44356403997934,86,5.067703109505694,67,0.9309531535381602,0.7790697674418605,2.3823323771098774,2.067457260799548,0.0857159993587073,12,0.28300173481883917,45,0.0857159993587073,12,0.3028815332654324,0.26666666666666666,0.2558139534883721,1.2222222222222223
ph_1,"ph_1, CWHvm1, 40",Toquart Lake,30 Aug 2023,2023-08-30,"Site on steep upper edge of block. An outlier because we detected almost no infection in the regen component. Access is challenging, steep and far from Port Alberni.",Drive 16km to the end of the Maggie Lake FSR to where it becomes Toquhat FSR and zero odo. Stay on Toquhat for x km to site. Park at start to one of deactivated spurs on W side of road. From there slog uphill 750m or so to edge.,"Infection perimeter seq: ip.1.ph1, ts.266.ph1, ts.259.ph1, ip.2.ph1, ip.3.ph1, ed.1.ph1","Opening gross area = 71 ha. Clearcut 1983. Container planted in 1985 (46 ha), 1987 (2 ha) and 1988 (46 ha). Juvenile spacing may have oocured in 1998 but hard to tell. Brushed by manual girdling 2001 (35.5 ha). Fertilized by helicopter 2004 (52.5 ha). Freegrowing declared in 2000.",Pacific Highway,1048577.255006,451626.025507,-125.335856,49.07891,267,16.08612379,CWHvm1,CWH,vm,1,RESULTS,1983,40,bc,2021,34.5,37,25.6,397,38.1,-399350000,NA,NA,ss_65,2023,-125.3359,49.07891,1.531322215102541,111,68.05876511566849,4933.333333333334,6.353095953898085,86,115.51083552541972,1563.6363636363637,7.199999999999999,10.6,14.75,16.325000000000003,21.7,34.724999999999994,7.05,10.5,14.45,16.3,21.7,34.5,1.5313222151025407,111,1.28942036617429,95,0.9999999999999999,1,0.8420307323027684,0.8558558558558559,5.831414858815414,85,5.831414858815414,85,0.9178855318936933,0.9883720930232558,0.9178855318936933,0.9883720930232558,5.831414858815415,85,4.125339196162449,52,0.7074336667929101,0.611764705882353,3.9773674042744664,6.889002424571719,0.00650388219109427,1,1.2894203661742905,95,0.00650388219109427,1,0.005044035569556951,0.010526315789473684,0,0
ph_2,"ph_2, CWHvm1, 35",Toquart Lake N,11 Jun 2024,2024-06-11,"Site fairly flat and borders a creek. SIginificant amabalis fir component, which is a rare host of HDM and infected at the site. Ba infection significant enough to include it in analyses. Lots of brush. Some beautiful old growth cedar.","Same as ph_1, just farther on Toquaht FSR. Start at Maggie Lake FSR (RR 10) NE of Ucluelet, drive till end of road (12-14km) where it road becomes Toquaht FSR. Continue 15km. Park at 15km road signs. Walk road till parallel with site, then through block. 1.5hrs to site from Ucluelet.","Datasheets wet from rain when measuring, some data on sheets unclear. Brush may have made distances measurments unreliable. No heights taken in mature component, brush was too challenging to get site lines.","Opening gross area = 20.1 ha. Harvested in 1989. Three standard units (SU) in the site, one small one and two larger ones. No SU map so not sure which one applies t oour site. SU 1: 12.7 ha, Cw and Ba preferred, Hw and Ss accceptable. SU 2: 4.2 ha, Cw and Hw preffered, Ba acceptable. Planted in 1991 (18 ha) and then fill planted in 1994 (12.8 ha). Brushed 1994 (10 ha) and 2001 (2.3 ha). Free gorwing declared 2003.",Pacific Highway,1046847.643,455083.3369,-125.359075,49.110176,69,15.998362,CWHvm1,CWH,vm,1,RESULTS,1989,35,NA,NA,NA,NA,NA,NA,NA,5894,NA,NA,ss_67,2024,-125.3591,49.11018,0.7219262108224835,71,32.08560936988816,3155.5555555555557,14.492812508300025,40,263.50568196909137,727.2727272727273,6.8,8.9,13.25,14.775,22.75,52.525,6.9750000000000005,8.95,13.25,14.775,20.25,45.475,0.7219262108224834,71,0.24269667186960892,22,0.9999999999999999,1,0.336179332778494,0.30985915492957744,13.982303702091686,38,1.4991742974783566,16,0.9647750354932163,0.95,0.10344260623117703,0.4,2.7824599185983496,34,2.4191975600637616,22,0.8694456095821932,0.6470588235294118,5.168488815572747,8.952085226923487,0.17058376870094538,8,0.24269667186960892,22,0.11721282190543518,6,0.48296015352204286,0.2727272727272727,0.36,1.125
ph_3,"ph_3, CWHvm1, 33",Lucky Creek,14 Jun 2024,2024-06-14,"Site steep and brushy. Regeneration to continuous forest cover did not occur at the edge, there is signigicant brush cover and the trees are smaller than the interior of the block where continuous cover does occur. Block boundary defined along a cliff face. Mature component on plateau on top of cliff, regen starts at cliff base. Middle transect at site did not have Hw, so it was extended until 3 live standing Hw were encountered.","First section the same as ph_2 and ph_3. Start at Maggie Lake FSR (RR 10) NE of Ucluelet, drive till end of road (12-14km) where it road becomes Toquaht FSR. Continue 9.5km then take Lucky Creek Branch on right. At 2.4km take right onto Black Peaks Main. Take right branch at 0.4km. We drove 1.9km and parked because road became brushy. Walk road till parallel with site then walk in. 1.5hrs to site from Ucluelet.",RESULTS lists the subunit the site is in as CWHvm1,"Opening gross area = 27.2 ha. Harvested in 1991. Site in SU 3 (4 ha). HDM noted as a significant pest. Three meter knockdown applied in preferred pest control. Notes to watch hdm levels and space Hw if it becomes severe, but no indication that happened. Planted 1993, Ba and Cw, 24.6 ha. Brushed in 2001 (9.8 ha), girdled alder.",Pacific Highway,1050214.747,447238.2607,-125.314051,49.039269,59,15.976009,CWHvm1,CWH,vm,1,RESULTS,1991,33,NA,NA,NA,NA,NA,NA,NA,-399750000,NA,NA,ss_137,2024,-125.3141,49.03927,0.7531206550763034,45,33.47202911450238,2000,3.0240036259640903,41,54.981884108438,745.4545454545455,5.8,9.8,18.4,17,23.5,37.2,5.35,6.949999999999999,9.5,14.225,22.6,30.875000000000004,0.5081706758759073,36,0.09146432851661324,12,0.6747533379288625,0.8,0.12144711196022955,0.26666666666666666,2.723978385953612,38,1.1370617618549828,20,0.9007854231937878,0.926829268292683,0.37601203652408755,0.4878048780487805,1.1370617618549828,20,0.9918416414427944,19,0.8722847559526768,0.95,16.406413630011254,14.964075330956101,0.03112140222462389,3,0.09146432851661324,12,0.024759677101104556,2,0.2707030981658309,0.16666666666666666,0.2,1
